prompt,response,label
How do I get certified for a course?,"To get certified in a course, you need to successfully complete all quizzes and submissions (if applicable) with 100% progression.",chat
"My progression is 100%, but the certificate isn't loading/generating. What should I do?","Please clear your browser history and try again. If the issue persists, log out and log back in, then try again.",chat
"I don't know the answer to the quiz of a course, can I still get certified?",Please ensure you complete the quiz with the correct answer. You can attempt the quiz an unlimited number of times.,chat
How can I change my name on my certificate/profile?,Please follow these steps: Go to your profile -> Edit your name -> Refresh your browser (CTRL + F5) -> Regenerate your certificate.,chat
Where can I find the certificate? Where is the 'Get Certified' option?,You need to click on the 'Get Certified' option at the end of the course modules in the table of contents. It will only be displayed after you complete all the lessons with 100% progress.,chat
"I cannot download my certificate, a blank screen appears, what should I do?","The certificate should automatically download. Please check your downloads folder, the certificate will download as a PDF file. For better results, try using Google Chrome.",chat
Why is Course X not available in Y language?,We sincerely apologize for the inconvenience. We are committed to offering courses in as many regional languages as possible. Please send your request to info@guvi.in.,chat
What can I do with GEEKOINS?,"GUVI users can use GEEKOINS to purchase courses and 'run counts,' useful in CodeKata, WebKata, and Debugging, and redeem coupons from the rewards section.",chat
What is your refund policy? I want a refund for my course.,"Refunds are processed within 7 working days from the date you fill out the refund form, which will be sent to your email by our team. To request a refund, please contact us at info@guvi.in or reach out to your course coordinator via email or phone, providing your details and the reason for the refund.",chat
Where can I find the courses?,Please visit this link https://www.guvi.in/courses to view our course library.,chat
I'm not able to log in. Please help.,"Please refresh your browser (CTRL + SHIFT + R for Windows, CMD + SHIFT + R for Mac) and try again. Also, consider trying a different browser.",chat
How do I get certified for a course?,"We want you to be satisfied, so all eligible courses purchased on GUVI can be refunded within 7 days. For whatever reason, if you are unhappy with a course, you can request a refund, provided the request meets the guidelines in our refund policy. Certain restrictions may apply and some purchases may only be eligible for credit refunds. For more information regarding our refund policy, please see below",chat
How does GUVI's 7-day refund policy work?,"While our 7-day refund policy is to allow students to learn risk free, we must also protect our instructors from fraud and provide them a reasonable payment schedule, so we will not process refund requests received after the refund window.",chat
Where will I receive the refund amount?,The refund amount will be transferred to the payment method used by you while purchasing the course.,chat
What are the additional reasons for denied refunds?,"We reserve the right, in our sole discretion, to limit or deny refund requests in cases where we believe there is refund abuse, including but not limited to the following:",chat
A significant portion of the course has been consumed or downloaded by a student before the refund was requested.,Multiple refunds have been requested by a student for the same course.,chat
Excessive refunds have been requested by a student.,Users who have their account banned or course access disabled due to a violation of our Terms will not be eligible to receive a refund. We do not grant refunds for any subscription services after 7 days. These refund restrictions will be enforced to the extent permitted by applicable law.,chat
What about refunds for bundles purchased through a third party?,"Since the payment for the bundle was processed by the third-party vendor, we do not have the transaction on file and cannot initiate a refund for you. Please contact the third-party vendor directly to request a refund.",chat
More about Professional Development,The benefits of professional development,chat
